"시점","발생지별(1)",발생지별(2),범죄발생 총건수(A) (건),인구(B) (명),A/B×100000 (%),형법범 (건),특별법범 (건)
"2023","부산",소계,120060,3293362,3645.5,79058,41002
"2023","부산",중구,3821,38619,9894.1,2713,1108
"2023","부산",서구,3688,104089,3543.1,2613,1075
"2023","부산",동구,4895,87792,5575.7,3031,1864
"2023","부산",영도,3413,106548,3203.3,2235,1178
"2023","부산",부산진,17168,359508,4775.4,12248,4920
"2023","부산",동래,7388,270815,2728.1,5331,2057
"2023","부산",남구,8951,254185,3521.5,5405,3546
"2023","부산",북구,6210,273596,2269.8,4431,1779
"2023","부산",해운대,12133,380448,3189.1,8071,4062
"2023","부산",사하,12180,297831,4089.6,5647,6533
"2023","부산",금정,7242,215590,3359.2,5436,1806
"2023","부산",강서,5914,142396,4153.2,3396,2518
"2023","부산",연제,8019,205766,3897.1,5929,2090
"2023","부산",수영,5387,174518,3086.8,3461,1926
"2023","부산",사상,7630,202932,3759.9,5383,2247
"2023","부산",기장군,5958,178729,3333.5,3728,2230
